Timestamp(ms),Current(uA),D0-D7
1200.06,271.851,00000000
1200.07,271.409,00000000
1200.08,269.199,00000000
1200.09,270.525,00000000
1200.1,267.873,00000000
1200.11,266.989,00000000
1200.12,266.105,00000000
1200.13,266.989,00000000
1200.14,268.315,00000000
1200.15,267.873,00000000
1200.16,268.757,00000000
1200.17,266.989,00000000
1200.18,267.873,00000000
1200.19,265.664,00000000
1200.2,266.989,00000000
1200.21,266.105,00000000
1200.22,265.664,00000000
1200.23,264.338,00000000
1200.24,266.105,00000000
1200.25,266.547,00000000
1200.26,265.664,00000000
1200.27,264.338,00000000
1200.28,264.338,00000000
1200.29,263.897,00000000
1200.3,263.897,00000000
1200.31,263.455,00000000
1200.32,264.338,00000000
1200.33,265.222,00000000
1200.34,264.338,00000000
1200.35,260.806,00000000
1200.36,260.806,00000000
1200.37,262.131,00000000
1200.38,262.131,00000000
1200.39,264.338,00000000
1200.4,262.131,00000000
1200.41,262.572,00000000
1200.42,263.897,00000000
1200.43,265.664,00000000
1200.44,266.105,00000000
1200.45,262.572,00000000
1200.46,261.248,00000000
1200.47,260.365,00000000
1200.48,260.365,00000000
1200.49,260.365,00000000
1200.5,259.924,00000000
1200.51,261.689,00000000
1200.52,263.455,00000000
1200.53,263.897,00000000
1200.54,262.572,00000000
1200.55,263.455,00000000
1200.56,261.248,00000000
1200.57,259.041,00000000
1200.58,259.482,00000000
1200.59,258.159,00000000
1200.6,257.276,00000000
1200.61,257.276,00000000
1200.62,259.041,00000000
1200.63,259.482,00000000
1200.64,262.572,00000000
1200.65,263.897,00000000
1200.66,265.664,00000000
1200.67,264.780,00000000
1200.68,265.222,00000000
1200.69,263.897,00000000
1200.7,262.131,00000000
1200.71,263.014,00000000
1200.72,262.131,00000000
1200.73,263.455,00000000
1200.74,265.222,00000000
1200.75,262.131,00000000
1200.76,260.365,00000000
1200.77,261.248,00000000
1200.78,261.248,00000000
1200.79,262.572,00000000
1200.8,263.455,00000000
1200.81,262.131,00000000
1200.82,260.365,00000000
1200.83,259.924,00000000
1200.84,262.131,00000000
1200.85,259.482,00000000
1200.86,257.717,00000000
1200.87,257.717,00000000
1200.88,259.041,00000000
1200.89,258.159,00000000
1200.9,258.600,00000000
1200.91,257.276,00000000
1200.92,260.806,00000000
1200.93,263.897,00000000
1200.94,265.222,00000000
1200.95,266.105,00000000
1200.96,263.897,00000000
1200.97,263.897,00000000
1200.98,263.897,00000000
1200.99,262.131,00000000
1201,259.924,00000000
1201.01,259.482,00000000
1201.02,258.600,00000000
1201.03,259.041,00000000
1201.04,258.159,00000000
1201.05,258.600,00000000
1201.06,256.835,00000000
1201.07,260.806,00000000
1201.08,262.131,00000000
1201.09,263.897,00000000
1201.1,263.014,00000000
1201.11,262.131,00000000
1201.12,261.248,00000000
1201.13,261.248,00000000
